name,location,link,rating
Hammered,"Cunningham Road, Central Bangalore",https://www.dineout.co.in/bangalore,4.3
Koramangala Social,"Koramangala, South Bangalore",https://www.dineout.co.in/bangalore/koramangala-social-koramangala-south-bangalore-27827,4.4
The Biere Club,"Vittal Mallya Road, Central Bangalore",https://www.dineout.co.in/bangalore/the-biere-club-vittal-mallya-road-central-bangalore-1168,4.4
Cafe Azzure,"MG Road, Central Bangalore",https://www.dineout.co.in/bangalore/cafe-azzure-mg-road-central-bangalore-29533,4.3
Steaming Mugs,"Basavanagudi, South Bangalore",https://www.dineout.co.in/bangalore/steaming-mugs-basavanagudi-south-bangalore-31063,4.6
Rasovara - The Royal Kitchen,"UB City, Vittal Mallya Road, Central Bangalore",https://www.dineout.co.in/bangalore/rasovara-the-royal-kitchen-vittal-mallya-road-central-bangalore-18457,4.4
Misu,"Halcyon Complex, St. Marks Road, Central Bangalore",https://www.dineout.co.in/bangalore/misu-st-marks-road-central-bangalore-32654,4.4
The Open Box,"Halcyon Complex, St. Marks Road, Central Bangalore",https://www.dineout.co.in/bangalore/the-open-box-st-marks-road-central-bangalore-20201,4.2
Fava,"UB City, Vittal Mallya Road, Central Bangalore",https://www.dineout.co.in/bangalore/fava-vittal-mallya-road-central-bangalore-1019,4.5
Smoke House Deli,"Lavelle Road, Central Bangalore",https://www.dineout.co.in/bangalore/smoke-house-deli-lavelle-road-central-bangalore-1050,4.4
